Player,Nationality,Position,Club,Age,Born,90s,No. of players tackled,Tackles won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),No. of dribblers tackled,Dribbles challenged (total),% of dribblers successfully tackled,challenges lost,Blocks,Shots blocked,Passes blocked,Interceptions,Tackles + internceptions,Clearances,Errors
João Cancelo, POR,DF,Bayern Munich,28,1994,1.4,4,2,3,1,0,3,7,42.9,4,3,0,3,0,4,0,0
João Cancelo, POR,DF,Manchester City,28,1994,4.2,10,7,3,5,2,4,8,50.0,4,3,0,3,3,13,3,0
Nicolás Capaldo, ARG,MF,RB Salzburg,24,1997,3.0,8,4,5,2,1,5,8,62.5,3,9,0,9,4,12,9,0
Valentin Carboni, ARG,FW,Inter,17,2005,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Fábio Cardoso, POR,DF,Porto,28,1994,4.0,7,3,5,1,1,4,6,66.7,2,3,1,2,3,10,15,0
David Carmo, POR,DF,Porto,23,1999,5.0,5,2,4,1,0,1,5,20.0,4,2,1,1,4,9,16,0
Carmona, ESP,DF,Sevilla,20,2002,5.0,6,4,5,0,1,3,7,42.9,4,7,4,3,3,9,10,1
Yannick Carrasco, BEL,"DF,MF",Atlético Madrid,28,1993,3.0,7,4,3,3,1,4,8,50.0,4,6,0,6,1,8,1,0
Cameron Carter-Vickers, USA,DF,Celtic,24,1997,4.0,3,2,2,1,0,2,4,50.0,2,2,1,1,4,7,15,0
Dani Carvajal, ESP,DF,Real Madrid,30,1992,9.7,18,11,10,6,2,10,19,52.6,9,15,4,11,7,25,20,0
Fabio Carvalho, POR,"MF,FW",Liverpool,19,2002,1.3,2,1,0,2,0,0,4,0.0,4,3,1,2,0,2,0,0
Marc Casado, ESP,MF,Barcelona,18,2003,0.3,0,0,0,0,0,0,0,,0,2,1,1,0,0,1,0
Dani Ceballos, ESP,MF,Real Madrid,25,1996,1.0,4,1,0,4,0,1,1,100.0,0,6,0,6,0,4,0,0
Aleš Čermák, CZE,MF,Viktoria Plzeň,27,1994,0.4,2,1,0,1,1,0,0,,0,1,0,1,2,4,0,0
El Chadaille Bitshiabu, FRA,DF,Paris S-G,17,2005,0.5,1,1,1,0,0,0,0,,0,1,1,0,0,1,2,0
Trevoh Chalobah, ENG,DF,Chelsea,23,1999,4.9,8,6,6,2,0,5,10,50.0,5,4,4,0,5,13,17,0
Timothy Chandler, USA,DF,Eint Frankfurt,32,1990,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Tjaronn Chery, SUR,"MF,FW",Maccabi Haifa,34,1988,6.0,2,1,0,2,0,0,3,0.0,3,5,0,5,1,3,2,0
Federico Chiesa, ITA,FW,Juventus,24,1997,0.2,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0
Ben Chilwell, ENG,"DF,MF",Chelsea,25,1996,6.2,12,8,4,6,2,4,7,57.1,3,8,4,4,4,16,5,0
Chiquinho, POR,MF,Benfica,27,1995,4.5,11,6,5,3,3,3,7,42.9,4,5,2,3,7,18,4,0
Tomáš Chorý, CZE,FW,Viktoria Plzeň,27,1995,4.0,3,1,0,0,3,1,3,33.3,2,4,0,4,1,4,6,0
Andreas Christensen, DEN,DF,Barcelona,26,1996,2.4,4,1,2,1,1,1,1,100.0,0,2,2,0,3,7,4,0
Viktor Claesson, SWE,"FW,MF",FC Copenhagen,30,1992,5.4,9,8,7,1,1,4,6,66.7,2,4,2,2,9,18,8,0
Jonathan Clauss, FRA,DF,Marseille,29,1992,4.6,6,1,3,3,0,2,5,40.0,3,4,1,3,5,11,2,0
William Clem, DEN,MF,FC Copenhagen,18,2004,1.9,5,2,3,0,2,2,7,28.6,5,2,0,2,4,9,0,0
Sebastián Coates, URU,DF,Sporting CP,31,1990,4.4,8,3,6,2,0,5,6,83.3,1,4,2,2,6,14,18,1
Josh Cohen, USA,GK,Maccabi Haifa,29,1992,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Antonio Čolak, CRO,FW,Rangers,28,1993,3.2,0,0,0,0,0,0,3,0.0,3,0,0,0,1,1,2,0
Kingsley Coman, FRA,"FW,DF",Bayern Munich,26,1996,5.9,11,8,3,6,2,5,13,38.5,8,10,0,10,2,13,1,0
Francisco Conceição, POR,"FW,MF",Ajax,19,2002,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Rodrigo Conceição, POR,DF,Porto,22,2000,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
Andreas Cornelius, DEN,FW,FC Copenhagen,29,1993,1.2,1,1,0,1,0,0,0,,0,3,0,3,0,1,1,0
Pierre Cornud, FRA,DF,Maccabi Haifa,25,1996,4.1,11,4,7,2,2,5,7,71.4,2,4,1,3,3,14,10,0
Ángel Correa, ARG,"FW,MF",Atlético Madrid,27,1995,3.5,2,0,0,1,1,2,3,66.7,1,9,2,7,0,2,0,1
Joaquín Correa, ARG,FW,Inter,27,1994,3.4,2,1,1,1,0,0,4,0.0,4,1,0,1,0,2,1,0
Bruno Xavier Almeida Costa, POR,MF,Porto,25,1997,0.8,2,2,1,1,0,1,1,100.0,0,0,0,0,1,3,0,0
Diogo Costa, POR,GK,Porto,22,1999,8.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Soumaïla Coulibaly, FRA,DF,Dortmund,18,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
Thibaut Courtois, BEL,GK,Real Madrid,30,1992,10.0,1,1,1,0,0,0,2,0.0,2,0,0,0,0,1,3,1
Juan Cuadrado, COL,"DF,MF",Juventus,34,1988,4.8,12,7,8,4,0,8,12,66.7,4,7,0,7,8,20,4,0
Marc Cucurella, ESP,DF,Chelsea,24,1998,4.6,12,9,6,5,1,8,8,100.0,0,9,0,9,8,20,7,0
Matheus Cunha, BRA,"FW,MF",Atlético Madrid,23,1999,1.4,2,1,0,0,2,1,1,100.0,0,4,0,4,1,3,0,0
Danilo D'Ambrosio, ITA,DF,Inter,33,1988,1.8,3,1,0,2,1,2,6,33.3,4,1,1,0,4,7,5,0
Danilo, BRA,DF,Juventus,31,1991,4.7,7,2,6,1,0,3,6,50.0,3,3,0,3,7,14,11,0
Arnaut Danjuma, NED,MF,Tottenham,25,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Mohammed Daramy, DEN,FW,FC Copenhagen,20,2002,4.9,2,1,1,1,0,1,3,33.3,2,2,1,1,4,6,0,0
Matteo Darmian, ITA,DF,Inter,32,1989,9.1,20,11,14,6,0,8,20,40.0,12,9,4,5,19,39,28,0
Dean David, ISR,"FW,DF",Maccabi Haifa,26,1996,2.6,3,2,2,0,1,1,2,50.0,1,0,0,0,0,3,0,0
Alphonso Davies, CAN,DF,Bayern Munich,21,2000,6.7,22,10,16,5,1,9,15,60.0,6,15,5,10,8,30,12,0
Ben Davies, WAL,DF,Tottenham,29,1993,4.4,7,6,0,5,2,3,6,50.0,3,3,2,1,5,12,13,1
Ben Davies, ENG,DF,Rangers,26,1995,2.9,3,1,2,1,0,0,0,,0,3,3,0,4,7,13,0
Steven Davis, NIR,MF,Rangers,37,1985,2.8,5,4,2,2,1,1,1,100.0,0,4,0,4,2,7,3,0
Kevin De Bruyne, BEL,MF,Manchester City,31,1991,8.0,9,3,1,5,3,2,9,22.2,7,4,0,4,2,11,5,0
Charles De Ketelaere, BEL,"MF,FW",Milan,21,2001,2.6,2,1,2,0,0,1,4,25.0,3,7,1,6,3,5,0,0
Rodrigo De Paul, ARG,MF,Atlético Madrid,28,1994,2.8,4,2,1,1,2,1,3,33.3,2,7,0,7,3,7,2,0
Mattia De Sciglio, ITA,DF,Juventus,29,1992,1.1,1,1,0,1,0,1,1,100.0,0,1,0,1,1,2,0,0
Amar Dedić, BIH,DF,RB Salzburg,19,2002,6.0,19,11,13,5,1,10,12,83.3,2,5,1,4,9,28,19,1
Thomas Delaney, DEN,MF,Sevilla,30,1991,2.6,2,2,0,2,0,1,3,33.3,2,2,1,1,1,3,5,0
Ousmane Dembélé, FRA,FW,Barcelona,25,1997,4.6,11,7,3,4,4,4,5,80.0,1,1,0,1,2,13,0,0
Kerem Demirbay, GER,MF,Leverkusen,29,1993,3.0,7,5,1,6,0,1,6,16.7,5,3,0,3,3,10,1,0
Sergiño Dest, USA,DF,Milan,21,2000,2.1,4,1,2,1,1,2,4,50.0,2,3,1,2,1,5,0,0
Giovanni Di Lorenzo, ITA,DF,Napoli,28,1993,9.9,18,10,12,6,0,10,15,66.7,5,9,3,6,12,30,22,0
Ángel Di María, ARG,FW,Juventus,34,1988,1.6,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
Moussa Diaby, FRA,"FW,MF",Leverkusen,23,1999,5.6,4,2,1,2,1,2,3,66.7,1,4,0,4,0,4,0,0
Abdou Diallo, SEN,"DF,MF",RB Leipzig,26,1996,2.5,4,2,2,2,0,1,2,50.0,1,1,1,0,1,5,4,0
Rúben Dias, POR,DF,Manchester City,25,1997,11.7,26,18,13,11,2,15,18,83.3,3,14,8,6,7,33,25,0
Brahim Díaz, ESP,"MF,FW",Milan,22,1999,6.7,7,3,4,3,0,2,4,50.0,2,5,1,4,6,13,0,0
Luis Díaz, COL,FW,Liverpool,25,1997,3.0,4,2,2,0,2,2,3,66.7,1,3,1,2,0,4,0,0
Eric Dier, ENG,DF,Tottenham,28,1994,6.9,7,5,1,6,0,2,5,40.0,3,4,3,1,8,15,23,2
Kevin Diks, NED,DF,FC Copenhagen,25,1996,3.7,13,7,7,3,3,6,7,85.7,1,7,4,3,4,17,10,0
Federico Dimarco, ITA,DF,Inter,24,1997,8.1,9,6,3,6,0,6,16,37.5,10,10,3,7,10,19,19,0
Junior Dina Ebimbe, FRA,"MF,DF",Eint Frankfurt,21,2000,2.7,8,6,3,5,0,2,5,40.0,3,0,0,0,1,9,4,0
Marko Dmitrović, SRB,GK,Sevilla,30,1992,2.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Matt Doherty, IRL,DF,Tottenham,30,1992,0.8,1,1,1,0,0,1,1,100.0,0,2,0,2,2,3,1,0
Kasper Dolberg, DEN,FW,Sevilla,24,1997,1.2,0,0,0,0,0,0,0,,0,2,0,2,1,1,1,0
Gianluigi Donnarumma, ITA,GK,Paris S-G,23,1999,8.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,1
Julian Draxler, GER,MF,Benfica,28,1993,0.4,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
Josip Drmić, SUI,FW,Dinamo Zagreb,29,1992,1.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
Denzel Dumfries, NED,DF,Inter,26,1996,9.8,9,6,5,2,2,5,11,45.5,6,14,4,10,8,17,19,0
Edin Džeko, BIH,FW,Inter,36,1986,9.2,4,2,2,1,1,3,7,42.9,4,11,2,9,0,4,16,0
Ederson, BRA,GK,Manchester City,28,1993,11.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0
Jorge Eduardo Sánchez, MEX,DF,Ajax,24,1997,3.0,10,4,6,3,1,7,11,63.6,4,3,1,2,2,12,9,0
Marcus Edwards, ENG,"FW,MF",Sporting CP,23,1998,3.9,3,0,3,0,0,1,6,16.7,5,1,0,1,1,4,1,0
Hugo Ekitike, FRA,"MF,FW",Paris S-G,20,2002,0.7,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Harvey Elliott, ENG,MF,Liverpool,19,2003,4.4,8,5,2,6,0,4,8,50.0,4,10,0,10,5,13,4,0
Elif Elmas, MKD,"FW,MF",Napoli,22,1999,3.2,8,1,1,7,0,5,10,50.0,5,5,1,4,0,8,2,0
Emerson, BRA,"DF,MF",Tottenham,23,1999,6.0,18,11,4,6,8,7,14,50.0,7,4,0,4,3,21,13,0
Youssef En-Nesyri, MAR,FW,Sevilla,25,1997,2.7,3,2,0,0,3,2,4,50.0,2,1,0,1,2,5,3,0
Ricardo Esgaio, POR,"DF,MF",Sporting CP,29,1993,1.2,8,5,4,3,1,7,9,77.8,2,2,0,2,0,8,1,0
Dario Essugo, POR,MF,Sporting CP,17,2005,0.3,2,2,0,2,0,0,0,,0,1,1,0,0,2,0,0
Stephen Eustáquio, CAN,MF,Porto,25,1996,6.6,14,7,8,6,0,5,14,35.7,9,7,1,6,11,25,9,0
Evanilson, BRA,FW,Porto,22,1999,5.7,4,3,0,3,1,1,4,25.0,3,4,1,3,1,5,4,0
Fabinho, BRA,MF,Liverpool,28,1993,7.0,13,8,4,8,1,2,11,18.2,9,8,3,5,9,22,5,0
Nicolò Fagioli, ITA,MF,Juventus,21,2001,1.2,2,0,1,1,0,0,3,0.0,3,4,0,4,1,3,0,0
Rasmus Falk, DEN,MF,FC Copenhagen,30,1992,2.1,2,1,1,1,0,1,4,25.0,3,3,0,3,7,9,2,0
Abdul Fatawu Issahaku, GHA,"MF,DF",Sporting CP,18,2004,1.0,4,3,3,1,0,0,0,,0,1,0,1,0,4,2,0
Ansu Fati, ESP,FW,Barcelona,19,2002,2.7,1,1,0,1,0,0,1,0.0,1,2,0,2,0,1,0,0
Felipe, BRA,DF,Atlético Madrid,33,1989,1.0,4,4,3,1,0,1,1,100.0,0,4,3,1,1,5,5,1
João Félix, POR,"FW,MF",Chelsea,22,1999,2.7,2,1,2,0,0,2,5,40.0,3,0,0,0,0,2,0,0
João Félix, POR,FW,Atlético Madrid,22,1999,2.4,2,0,0,1,1,1,1,100.0,0,1,0,1,0,2,0,0
Mateus Fernandes, POR,MF,Sporting CP,18,2004,0.3,1,0,1,0,0,1,1,100.0,0,2,1,1,0,1,2,0
Enzo Fernández, ARG,MF,Benfica,21,2001,4.7,19,7,7,8,4,8,13,61.5,5,4,1,3,9,28,2,0
Enzo Fernández, ARG,MF,Chelsea,21,2001,3.7,8,7,2,5,1,4,10,40.0,6,10,2,8,1,9,3,0
